Pytanie|label|Odpowiedź
Jak wygląda sytuacja pracy w innej firmie gdy przebywam na urlopie bezpłatnym?|urlop bezpłatny inny pracodawca|Pracodawca może udzielić nam urlopu bezpłatnego w celu wykonywania pracy u innego zatrudniającego. Po powrocie do dotychczasowego miejsca zatrudnienia, okres wykonywania obowiązków na rzecz innego pracodawcy będzie wliczał się do stażu pracy.
Czy mogę wziąć urlop bezpłatny żeby pracować w innym miejscu?|urlop bezpłatny inny pracodawca|Pracodawca może udzielić nam urlopu bezpłatnego w celu wykonywania pracy u innego zatrudniającego. Po powrocie do dotychczasowego miejsca zatrudnienia, okres wykonywania obowiązków na rzecz innego pracodawcy będzie wliczał się do stażu pracy.
Czy przełożony może odmówić mi urlopu bezpłatnego?|urlop bezpłatny odmowa|Pracodawca nie ma obowiązku przystać na naszą prośbę. Nie musi także argumentować decyzji odmownej. Może zaproponować nam krótszy czas trwania urlopu niż ten, który wskazaliśmy we wniosku.
Czy przełożony może nie wyrazić zgody na mój urlop bezpłatny?|urlop bezpłatny odmowa|Pracodawca nie ma obowiązku przystać na naszą prośbę. Nie musi także argumentować decyzji odmownej. Może zaproponować nam krótszy czas trwania urlopu niż ten, który wskazaliśmy we wniosku.
Czy mogę nie otrzymać zgody na urlop bezpłatny?|urlop bezpłatny odmowa|Pracodawca nie ma obowiązku przystać na naszą prośbę. Nie musi także argumentować decyzji odmownej. Może zaproponować nam krótszy czas trwania urlopu niż ten, który wskazaliśmy we wniosku.
Czy w przypadku urlopu bezpłatnego mogę nie otrzymać zgody?|urlop bezpłatny odmowa|Pracodawca nie ma obowiązku przystać na naszą prośbę. Nie musi także argumentować decyzji odmownej. Może zaproponować nam krótszy czas trwania urlopu niż ten, który wskazaliśmy we wniosku.
Czy mogę nie dostać urlopu bezpłatnego?|urlop bezpłatny odmowa|Pracodawca nie ma obowiązku przystać na naszą prośbę. Nie musi także argumentować decyzji odmownej. Może zaproponować nam krótszy czas trwania urlopu niż ten, który wskazaliśmy we wniosku.
Czy istnieje możliwość odmowy wniosku o urlop bezpłatny?|urlop bezpłatny odmowa|Pracodawca nie ma obowiązku przystać na naszą prośbę. Nie musi także argumentować decyzji odmownej. Może zaproponować nam krótszy czas trwania urlopu niż ten, który wskazaliśmy we wniosku.
Urlop bezpłatny, czy pracodawca może mi odmówić?|urlop bezpłatny odmowa|Pracodawca nie ma obowiązku przystać na naszą prośbę. Nie musi także argumentować decyzji odmownej. Może zaproponować nam krótszy czas trwania urlopu niż ten, który wskazaliśmy we wniosku.
Czy pracodawca ma prawo odwołać nas z urlopu bezpłatnego?|urlop bezpłatny odwołanie|Możliwość odwołania pracownika z urlopu bezpłatnego istnieje tylko wtedy, gdy trwa on dłużej niż 3 miesiące. Poza tym, taki wariant należy ustalić przy udzielaniu urlopu. W przeciwnym razie wcześniejszy powrót może nastąpić tylko za zgodą zatrudnionego. 
Czy pracodawca może skrócić mój urlop bezpłatny?|urlop bezpłatny odwołanie|Możliwość odwołania pracownika z urlopu bezpłatnego istnieje tylko wtedy, gdy trwa on dłużej niż 3 miesiące. Poza tym, taki wariant należy ustalić przy udzielaniu urlopu. W przeciwnym razie wcześniejszy powrót może nastąpić tylko za zgodą zatrudnionego. 
Czy mój urlop bezpłatny może zostać skrócony?|urlop bezpłatny odwołanie|Możliwość odwołania pracownika z urlopu bezpłatnego istnieje tylko wtedy, gdy trwa on dłużej niż 3 miesiące. Poza tym, taki wariant należy ustalić przy udzielaniu urlopu. W przeciwnym razie wcześniejszy powrót może nastąpić tylko za zgodą zatrudnionego. 
Czy będąc na urlopie bezpłatnym pracodawca może mnie z niego odmówić?|urlop bezpłatny odwołanie|Możliwość odwołania pracownika z urlopu bezpłatnego istnieje tylko wtedy, gdy trwa on dłużej niż 3 miesiące. Poza tym, taki wariant należy ustalić przy udzielaniu urlopu. W przeciwnym razie wcześniejszy powrót może nastąpić tylko za zgodą zatrudnionego. 
Czy w trakcie urlopu bezpłatnego kierownik może mnie odwołać?|urlop bezpłatny odwołanie|Możliwość odwołania pracownika z urlopu bezpłatnego istnieje tylko wtedy, gdy trwa on dłużej niż 3 miesiące. Poza tym, taki wariant należy ustalić przy udzielaniu urlopu. W przeciwnym razie wcześniejszy powrót może nastąpić tylko za zgodą zatrudnionego. 
Czy w trakcie urlopu bezpłatnego pracowaca może zlecić mi powrót do pracy?|urlop bezpłatny odwołanie|Możliwość odwołania pracownika z urlopu bezpłatnego istnieje tylko wtedy, gdy trwa on dłużej niż 3 miesiące. Poza tym, taki wariant należy ustalić przy udzielaniu urlopu. W przeciwnym razie wcześniejszy powrót może nastąpić tylko za zgodą zatrudnionego. 
Urlop bezpłatny, czy pracodawca może go skrócić?|urlop bezpłatny odwołanie|Możliwość odwołania pracownika z urlopu bezpłatnego istnieje tylko wtedy, gdy trwa on dłużej niż 3 miesiące. Poza tym, taki wariant należy ustalić przy udzielaniu urlopu. W przeciwnym razie wcześniejszy powrót może nastąpić tylko za zgodą zatrudnionego. 
Czy na urlopie bezpłatnym przysługuje mi jakiekolwiek ubezpieczenie?|urlop bezpłatny ubezpieczenie|Urlop bezpłatny wyłącza nas z obowiązku podlegania ubezpieczeniu społecznemu i zdrowotnemu. Zgodnie z ustawą o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych pracodawca nie musi opłacać składek, a my – po upływie 30 dni od rozpoczęcia urlopu – tracimy prawo do świadczeń.
Jakie świadczenia mam na urlopie bezpłatnym?|urlop bezpłatny ubezpieczenie|Urlop bezpłatny wyłącza nas z obowiązku podlegania ubezpieczeniu społecznemu i zdrowotnemu. Zgodnie z ustawą o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych pracodawca nie musi opłacać składek, a my – po upływie 30 dni od rozpoczęcia urlopu – tracimy prawo do świadczeń.
Czy na urlopie bezpłatnym przysługuje mi ubezpieczenie?|urlop bezpłatny ubezpieczenie|Urlop bezpłatny wyłącza nas z obowiązku podlegania ubezpieczeniu społecznemu i zdrowotnemu. Zgodnie z ustawą o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych pracodawca nie musi opłacać składek, a my – po upływie 30 dni od rozpoczęcia urlopu – tracimy prawo do świadczeń.
Czy mam ubezpieczenie będąc na urlopie bezpłatnym?|urlop bezpłatny ubezpieczenie|Urlop bezpłatny wyłącza nas z obowiązku podlegania ubezpieczeniu społecznemu i zdrowotnemu. Zgodnie z ustawą o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych pracodawca nie musi opłacać składek, a my – po upływie 30 dni od rozpoczęcia urlopu – tracimy prawo do świadczeń.
Czy jestem nadal ubezpieczony gdy wziąłem urlop bezpłatny?|urlop bezpłatny ubezpieczenie|Urlop bezpłatny wyłącza nas z obowiązku podlegania ubezpieczeniu społecznemu i zdrowotnemu. Zgodnie z ustawą o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych pracodawca nie musi opłacać składek, a my – po upływie 30 dni od rozpoczęcia urlopu – tracimy prawo do świadczeń.
Czy w trakcie urlopu bezpłatnego jestem nadal ubezpieczony?|urlop bezpłatny ubezpieczenie|Urlop bezpłatny wyłącza nas z obowiązku podlegania ubezpieczeniu społecznemu i zdrowotnemu. Zgodnie z ustawą o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych pracodawca nie musi opłacać składek, a my – po upływie 30 dni od rozpoczęcia urlopu – tracimy prawo do świadczeń.
Czy w trakcie urlopu bezpłatnego podlegam ubezpieczeniu?|urlop bezpłatny ubezpieczenie|Urlop bezpłatny wyłącza nas z obowiązku podlegania ubezpieczeniu społecznemu i zdrowotnemu. Zgodnie z ustawą o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych pracodawca nie musi opłacać składek, a my – po upływie 30 dni od rozpoczęcia urlopu – tracimy prawo do świadczeń.
Czy urlop na żądanie to dodatkowy urlop?|urlop na zadanie|"Urlop na żądanie -w ciągu roku przysługują 4 dni urlopu, które wliczają się w przysługujący wymiar dni urlopowych, pracodawca ma obowiązek udzielenia takiego urlopu pod warunkiem, że pracownik skutecznie powiadomi o zamiarze wykorzystania urlopu nie później niż w momencie rozpoczęcia dnia roboczego- urlop na żądanie dotyczy spraw nagłych i losowych, niemożliwych do przewidzenia (zatem 
ani kac, ani zaplanowane badanie lekarskie nie jest takim zdarzeniem)- na urlop na żądanie idziemy na podstawie SMS’owego zgłoszenia do K lub A- dodatkowo informujemy resztę zespołu na slacku lub w inny sposób o nieobecności. O urlopie na żądanie informujcie mnie mailowo :) W tytule koniecznie wpisujcie NŻ "
Kiedy mogę zgłosić urlop na żądanie?|urlop na zadanie|"Urlop na żądanie -
w ciągu roku przysługują 4 dni urlopu, które wliczają się w 
przysługujący wymiar dni urlopowych, pracodawca ma obowiązek udzielenia 
takiego urlopu pod warunkiem, że pracownik skutecznie powiadomi o 
zamiarze wykorzystania urlopu nie później niż w momencie rozpoczęcia 
dnia roboczego- urlop na żądanie 
dotyczy spraw nagłych i losowych, niemożliwych do przewidzenia (zatem 
ani kac, ani zaplanowane badanie lekarskie nie jest takim zdarzeniem)- na urlop na żądanie idziemy na podstawie SMS’owego zgłoszenia do K lub A- dodatkowo informujemy resztę zespołu na slacku lub w inny sposób o nieobecności
O urlopie na żądanie informujcie mnie mailowo :) W tytule koniecznie wpisujcie NŻ "
W jakim przypadku mogę zgłosić urlop na żądanie?|urlop na zadanie|"Urlop na żądanie -
w ciągu roku przysługują 4 dni urlopu, które wliczają się w 
przysługujący wymiar dni urlopowych, pracodawca ma obowiązek udzielenia 
takiego urlopu pod warunkiem, że pracownik skutecznie powiadomi o 
zamiarze wykorzystania urlopu nie później niż w momencie rozpoczęcia 
dnia roboczego- urlop na żądanie 
dotyczy spraw nagłych i losowych, niemożliwych do przewidzenia (zatem 
ani kac, ani zaplanowane badanie lekarskie nie jest takim zdarzeniem)- na urlop na żądanie idziemy na podstawie SMS’owego zgłoszenia do K lub A- dodatkowo informujemy resztę zespołu na slacku lub w inny sposób o nieobecności
O urlopie na żądanie informujcie mnie mailowo :) W tytule koniecznie wpisujcie NŻ "
Czy urlop na żądanie to urlop wypoczynkowy?|urlop na zadanie|"Urlop na żądanie -
w ciągu roku przysługują 4 dni urlopu, które wliczają się w 
przysługujący wymiar dni urlopowych, pracodawca ma obowiązek udzielenia 
takiego urlopu pod warunkiem, że pracownik skutecznie powiadomi o 
zamiarze wykorzystania urlopu nie później niż w momencie rozpoczęcia 
dnia roboczego- urlop na żądanie 
dotyczy spraw nagłych i losowych, niemożliwych do przewidzenia (zatem 
ani kac, ani zaplanowane badanie lekarskie nie jest takim zdarzeniem)- na urlop na żądanie idziemy na podstawie SMS’owego zgłoszenia do K lub A- dodatkowo informujemy resztę zespołu na slacku lub w inny sposób o nieobecności
O urlopie na żądanie informujcie mnie mailowo :) W tytule koniecznie wpisujcie NŻ "
Czy dodatkowym urlopem jest urlop na żadanie?|urlop na zadanie|"Urlop na żądanie -
w ciągu roku przysługują 4 dni urlopu, które wliczają się w 
przysługujący wymiar dni urlopowych, pracodawca ma obowiązek udzielenia 
takiego urlopu pod warunkiem, że pracownik skutecznie powiadomi o 
zamiarze wykorzystania urlopu nie później niż w momencie rozpoczęcia 
dnia roboczego- urlop na żądanie 
dotyczy spraw nagłych i losowych, niemożliwych do przewidzenia (zatem 
ani kac, ani zaplanowane badanie lekarskie nie jest takim zdarzeniem)- na urlop na żądanie idziemy na podstawie SMS’owego zgłoszenia do K lub A- dodatkowo informujemy resztę zespołu na slacku lub w inny sposób o nieobecności
O urlopie na żądanie informujcie mnie mailowo :) W tytule koniecznie wpisujcie NŻ "
Urlop na żadanie to urlop nadprogramowy?|urlop na zadanie|"Urlop na żądanie -
w ciągu roku przysługują 4 dni urlopu, które wliczają się w 
przysługujący wymiar dni urlopowych, pracodawca ma obowiązek udzielenia 
takiego urlopu pod warunkiem, że pracownik skutecznie powiadomi o 
zamiarze wykorzystania urlopu nie później niż w momencie rozpoczęcia 
dnia roboczego- urlop na żądanie 
dotyczy spraw nagłych i losowych, niemożliwych do przewidzenia (zatem 
ani kac, ani zaplanowane badanie lekarskie nie jest takim zdarzeniem)- na urlop na żądanie idziemy na podstawie SMS’owego zgłoszenia do K lub A- dodatkowo informujemy resztę zespołu na slacku lub w inny sposób o nieobecności
O urlopie na żądanie informujcie mnie mailowo :) W tytule koniecznie wpisujcie NŻ "
Urlop na żadanie jest uzupełniający?|urlop na zadanie|"Urlop na żądanie -
w ciągu roku przysługują 4 dni urlopu, które wliczają się w 
przysługujący wymiar dni urlopowych, pracodawca ma obowiązek udzielenia 
takiego urlopu pod warunkiem, że pracownik skutecznie powiadomi o 
zamiarze wykorzystania urlopu nie później niż w momencie rozpoczęcia 
dnia roboczego- urlop na żądanie 
dotyczy spraw nagłych i losowych, niemożliwych do przewidzenia (zatem 
ani kac, ani zaplanowane badanie lekarskie nie jest takim zdarzeniem)- na urlop na żądanie idziemy na podstawie SMS’owego zgłoszenia do K lub A- dodatkowo informujemy resztę zespołu na slacku lub w inny sposób o nieobecności
O urlopie na żądanie informujcie mnie mailowo :) W tytule koniecznie wpisujcie NŻ "
Czy przełożony może odmówić urlopu okolicznościowego?|urlop okolicznościowy odmowa|Pracodawca nie może odmówić udzielenia takiego urlopu.
Czy przełożony może odmówić mi urlop z okazji ślubu?|urlop okolicznościowy odmowa|Pracodawca nie może odmówić udzielenia takiego urlopu.
Czy pracodawca może mi odmówić urlopu z powodu śmierci rodzica?|urlop okolicznościowy odmowa|Pracodawca nie może odmówić udzielenia takiego urlopu.
Mam ślub, czy mogę nie dostać urlopu?|urlop okolicznościowy odmowa|Pracodawca nie może odmówić udzielenia takiego urlopu.
Mam pogrzeb rodzica, czy mogę nie dostać urlopu?|urlop okolicznościowy odmowa|Pracodawca nie może odmówić udzielenia takiego urlopu.
Czy są sytuacje, w których kierownik może nie wyrazić zgody na urlop okolicznościowy?|urlop okolicznościowy odmowa|Pracodawca nie może odmówić udzielenia takiego urlopu.
W jakich sytuacjach nie dostanę urlopu okolicznościowego?|urlop okolicznościowy odmowa|Pracodawca nie może odmówić udzielenia takiego urlopu.
Czy zawsze dostanę urlop okolicznościowy?|urlop okolicznościowy odmowa|Pracodawca nie może odmówić udzielenia takiego urlopu.
Czy przełożony może odmówić urlopu okolicznościowego?|urlop okolicznościowy odmowa|Pracodawca nie może odmówić udzielenia takiego urlopu.
Ile przysługuje mi urlopu rodzicielskiego?|urlop rodzicielski|Pracownica-matka po urodzeniu dziecka ma prawo do urlopu rodzicielskiego w wymiarze 32 tygodni dla 1 dziecka i 34 tygodni dla 2 i więcej dzieci.
Ile należy mi się rodzicielskiego?|urlop rodzicielski|Pracownica-matka po urodzeniu dziecka ma prawo do urlopu rodzicielskiego w wymiarze 32 tygodni dla 1 dziecka i 34 tygodni dla 2 i więcej dzieci.
Ile wynosi urlopu rodzicielski?|urlop rodzicielski|Pracownica-matka po urodzeniu dziecka ma prawo do urlopu rodzicielskiego w wymiarze 32 tygodni dla 1 dziecka i 34 tygodni dla 2 i więcej dzieci.
ile można wziąść urlopu rodzicielskiego?|urlop rodzicielski|Pracownica-matka po urodzeniu dziecka ma prawo do urlopu rodzicielskiego w wymiarze 32 tygodni dla 1 dziecka i 34 tygodni dla 2 i więcej dzieci.
Ile mi zostało urlopu rodzicielskiego?|urlop rodzicielski|Pracownica-matka po urodzeniu dziecka ma prawo do urlopu rodzicielskiego w wymiarze 32 tygodni dla 1 dziecka i 34 tygodni dla 2 i więcej dzieci.
ile należy się mi urlopu rodzicielskiego?|urlop rodzicielski|Pracownica-matka po urodzeniu dziecka ma prawo do urlopu rodzicielskiego w wymiarze 32 tygodni dla 1 dziecka i 34 tygodni dla 2 i więcej dzieci.
Co mam zrobić aby otrzymać pieniądze za niewykorzystany urlop po odejściu z pracy?|wniosek ekwiwalent urlop|Pracownik nie musi wnioskować o wypłatę ekwiwalentu. Pracodawca jest do tego zobligowany przepisami Kodeksu Pracy.
Czy trzeba wnioskować o wypłatę ekwiwalentu przy rozwiązaniu umowy?|wniosek ekwiwalent urlop|Pracownik nie musi wnioskować o wypłatę ekwiwalentu. Pracodawca jest do tego zobligowany przepisami Kodeksu Pracy.
Czy trzeba zrobić żeby dostać wypłatę ekwiwalentu przy rozwiązaniu umowy?|wniosek ekwiwalent urlop|Pracownik nie musi wnioskować o wypłatę ekwiwalentu. Pracodawca jest do tego zobligowany przepisami Kodeksu Pracy.
Czy muszę składać jakieś dokumenty żeby otrzymać ekwiwalent gdy kończę pracę?|wniosek ekwiwalent urlop|Pracownik nie musi wnioskować o wypłatę ekwiwalentu. Pracodawca jest do tego zobligowany przepisami Kodeksu Pracy.
Czy w celu otrzymania ekwiwalentu za urlop muszę składać wniosek?|wniosek ekwiwalent urlop|Pracownik nie musi wnioskować o wypłatę ekwiwalentu. Pracodawca jest do tego zobligowany przepisami Kodeksu Pracy.
Jak wypełnić wniosek o urlop okolicznościowy?|wniosek urlop okolicznościowy|W celu otrzymania urlopu okolicznościowego, tak jak w przypadku urlopu wypoczynkowego, należy złożyć wniosek o urlop do pracodawcy, a w późniejszym czasie potwierdzić zaistniałą okoliczność uprawniającą do dni urlopowych. W przypadku ślubu powinien być to odpis aktu ślubu. 
Co trzeba wypełnić żeby dostać urlop okolicznościowy?|wniosek urlop okolicznościowy|W celu otrzymania urlopu okolicznościowego, tak jak w przypadku urlopu wypoczynkowego, należy złożyć wniosek o urlop do pracodawcy, a w późniejszym czasie potwierdzić zaistniałą okoliczność uprawniającą do dni urlopowych. W przypadku ślubu powinien być to odpis aktu ślubu. 
Jakie dokumenty muszę dostarczyć żeby dostać urlop okolicznościowy?|wniosek urlop okolicznościowy|W celu otrzymania urlopu okolicznościowego, tak jak w przypadku urlopu wypoczynkowego, należy złożyć wniosek o urlop do pracodawcy, a w późniejszym czasie potwierdzić zaistniałą okoliczność uprawniającą do dni urlopowych. W przypadku ślubu powinien być to odpis aktu ślubu. 
Czy akt ślubu wystarczy żeby otrzymać urlop okolicznościowy?|wniosek urlop okolicznościowy|W celu otrzymania urlopu okolicznościowego, tak jak w przypadku urlopu wypoczynkowego, należy złożyć wniosek o urlop do pracodawcy, a w późniejszym czasie potwierdzić zaistniałą okoliczność uprawniającą do dni urlopowych. W przypadku ślubu powinien być to odpis aktu ślubu. 
Czy akt zgonu wystarczy żeby otrzymać urlop okolicznościowy?|wniosek urlop okolicznościowy|W celu otrzymania urlopu okolicznościowego, tak jak w przypadku urlopu wypoczynkowego, należy złożyć wniosek o urlop do pracodawcy, a w późniejszym czasie potwierdzić zaistniałą okoliczność uprawniającą do dni urlopowych. W przypadku ślubu powinien być to odpis aktu ślubu. 
Mam akt ślubu, czy jeszcze powinnam dostarczyć jakieś dokumenty żeby dostarczyć urlop okolicznościowy?|wniosek urlop okolicznościowy|W celu otrzymania urlopu okolicznościowego, tak jak w przypadku urlopu wypoczynkowego, należy złożyć wniosek o urlop do pracodawcy, a w późniejszym czasie potwierdzić zaistniałą okoliczność uprawniającą do dni urlopowych. W przypadku ślubu powinien być to odpis aktu ślubu. 
Mam akt zgonu, czy są potrzebne jeszcze jakieś dokumenty żeby dostarczyć urlop okolicznościowy?|wniosek urlop okolicznościowy|W celu otrzymania urlopu okolicznościowego, tak jak w przypadku urlopu wypoczynkowego, należy złożyć wniosek o urlop do pracodawcy, a w późniejszym czasie potwierdzić zaistniałą okoliczność uprawniającą do dni urlopowych. W przypadku ślubu powinien być to odpis aktu ślubu. 
Jak wypełnić wniosek o urlop okolicznościowy?|wniosek urlop okolicznościowy|W celu otrzymania urlopu okolicznościowego, tak jak w przypadku urlopu wypoczynkowego, należy złożyć wniosek o urlop do pracodawcy, a w późniejszym czasie potwierdzić zaistniałą okoliczność uprawniającą do dni urlopowych. W przypadku ślubu powinien być to odpis aktu ślubu. 
Czy urlop wychowawczy mogę dzielić na części?|wychowawczy na części|Urlop wychowawczy jest udzielany nie więcej niż w 5 częściach. Liczbę części ustala się w oparciu o liczbę złożonych wniosków o udzielenie urlopu.
W ilu częściach mogę wykorzystać wychowawczy?|wychowawczy na części|Urlop wychowawczy jest udzielany nie więcej niż w 5 częściach. Liczbę części ustala się w oparciu o liczbę złożonych wniosków o udzielenie urlopu.
Czy urlop wychowawczy można wziąć częściowo?|wychowawczy na części|Urlop wychowawczy jest udzielany nie więcej niż w 5 częściach. Liczbę części ustala się w oparciu o liczbę złożonych wniosków o udzielenie urlopu.
Czy urlop wychowawczy można podzielić?|wychowawczy na części|Urlop wychowawczy jest udzielany nie więcej niż w 5 częściach. Liczbę części ustala się w oparciu o liczbę złożonych wniosków o udzielenie urlopu.
Czy urlop wychowawczy da się podzielić?|wychowawczy na części|Urlop wychowawczy jest udzielany nie więcej niż w 5 częściach. Liczbę części ustala się w oparciu o liczbę złożonych wniosków o udzielenie urlopu.
Czy urlop wychowawczy mogę wziąć w częściach?|wychowawczy na części|Urlop wychowawczy jest udzielany nie więcej niż w 5 częściach. Liczbę części ustala się w oparciu o liczbę złożonych wniosków o udzielenie urlopu.
Czy mogę korzystać z urlopu wychowawczego wspólnie z mężem?|wychowawczy wspólnie|Z urlopu wychowawczego mogą jednocześnie korzystać oboje rodzice lub opiekunowie dziecka. W takim wypadku łączny wymiar urlopu nie może przekraczać 36 miesięcy.
czy mozna wychowawczy razem z małżonkiem |wychowawczy wspólnie|Z urlopu wychowawczego mogą jednocześnie korzystać oboje rodzice lub opiekunowie dziecka. W takim wypadku łączny wymiar urlopu nie może przekraczać 36 miesięcy.
Czy możemy korzystać z wychowawczego razem z mężem?|wychowawczy wspólnie|Z urlopu wychowawczego mogą jednocześnie korzystać oboje rodzice lub opiekunowie dziecka. W takim wypadku łączny wymiar urlopu nie może przekraczać 36 miesięcy.
Czy mogę korzystać z urlopu wychowawczego wspólnie z małżonką?|wychowawczy wspólnie|Z urlopu wychowawczego mogą jednocześnie korzystać oboje rodzice lub opiekunowie dziecka. W takim wypadku łączny wymiar urlopu nie może przekraczać 36 miesięcy.
Czy mogę korzystać z urlopu wychowawczego wspólnie z żoną?|wychowawczy wspólnie|Z urlopu wychowawczego mogą jednocześnie korzystać oboje rodzice lub opiekunowie dziecka. W takim wypadku łączny wymiar urlopu nie może przekraczać 36 miesięcy.
Czy mogę korzystać z urlopu wychowawczego wspólnie z małżonkiem?|wychowawczy wspólnie|Z urlopu wychowawczego mogą jednocześnie korzystać oboje rodzice lub opiekunowie dziecka. W takim wypadku łączny wymiar urlopu nie może przekraczać 36 miesięcy.
Czy mogę być na urlopie wychowawczym wspólnie z małżonkiem?|wychowawczy wspólnie|Z urlopu wychowawczego mogą jednocześnie korzystać oboje rodzice lub opiekunowie dziecka. W takim wypadku łączny wymiar urlopu nie może przekraczać 36 miesięcy.
Czy mogę wyjść w trakcie pracy?|Wyjście w czasie pracy|Wszystkie wyjścia w trakcie pracy powinny zostać uzgodnione z przełożonym i powinna zostać wyrażona zgoda przełożonego na wyjście w trakcie pracy.
Czy mogę wyjść w trakcie pracy?|Wyjście w czasie pracy|Wszystkie wyjścia w trakcie pracy powinny zostać uzgodnione z przełożonym i powinna zostać wyrażona zgoda przełożonego na wyjście w trakcie pracy.
Czy mogę wyjść w czasie pracy?|Wyjście w czasie pracy|Wszystkie wyjścia w trakcie pracy powinny zostać uzgodnione z przełożonym i powinna zostać wyrażona zgoda przełożonego na wyjście w trakcie pracy.
Chciałbym na chwilę wyjść podczas pracy|Wyjście w czasie pracy|Wszystkie wyjścia w trakcie pracy powinny zostać uzgodnione z przełożonym i powinna zostać wyrażona zgoda przełożonego na wyjście w trakcie pracy.
Chcę na chwilę wyjść w czasie pracy|Wyjście w czasie pracy|Wszystkie wyjścia w trakcie pracy powinny zostać uzgodnione z przełożonym i powinna zostać wyrażona zgoda przełożonego na wyjście w trakcie pracy.
Czy możliwe jest wychodzenie w czasie pracy?|Wyjście w czasie pracy|Wszystkie wyjścia w trakcie pracy powinny zostać uzgodnione z przełożonym i powinna zostać wyrażona zgoda przełożonego na wyjście w trakcie pracy.
Wyjście w czasie pracy|Wyjście w czasie pracy|Wszystkie wyjścia w trakcie pracy powinny zostać uzgodnione z przełożonym i powinna zostać wyrażona zgoda przełożonego na wyjście w trakcie pracy.
Czy muszę wykorzystać cały przysługujący mi urlop?|wykorzystać urlop|Pracodawca powinien udzielić pracownikowi urlopu w tym roku kalendarzowym, w którym ten uzyskał do niego prawo, zgodnie z planem urlopów lub po uzgodnieniu i na wniosek pracownika. Pracownik musi wykorzystać urlop wypoczynkowy najpóźniej do 30 września następnego roku.
Do kiedy mam wziąć urlop z tego roku?|wykorzystać urlop|Pracodawca powinien udzielić pracownikowi urlopu w tym roku kalendarzowym, w którym ten uzyskał do niego prawo, zgodnie z planem urlopów lub po uzgodnieniu i na wniosek pracownika. Pracownik musi wykorzystać urlop wypoczynkowy najpóźniej do 30 września następnego roku.
Został mi urlop z poprzedniego roku? Kiedy muszę go wybrać?|wykorzystać urlop|Pracodawca powinien udzielić pracownikowi urlopu w tym roku kalendarzowym, w którym ten uzyskał do niego prawo, zgodnie z planem urlopów lub po uzgodnieniu i na wniosek pracownika. Pracownik musi wykorzystać urlop wypoczynkowy najpóźniej do 30 września następnego roku.
Czy jest obowiązek wykorzystania całego urlopu?|wykorzystać urlop|Pracodawca powinien udzielić pracownikowi urlopu w tym roku kalendarzowym, w którym ten uzyskał do niego prawo, zgodnie z planem urlopów lub po uzgodnieniu i na wniosek pracownika. Pracownik musi wykorzystać urlop wypoczynkowy najpóźniej do 30 września następnego roku.
Czy jest obowiązek wykorzystania wszystkich dni urlopowych|wykorzystać urlop|Pracodawca powinien udzielić pracownikowi urlopu w tym roku kalendarzowym, w którym ten uzyskał do niego prawo, zgodnie z planem urlopów lub po uzgodnieniu i na wniosek pracownika. Pracownik musi wykorzystać urlop wypoczynkowy najpóźniej do 30 września następnego roku.
Czy muszę wziąć wszystkie dni urlopu|wykorzystać urlop|Pracodawca powinien udzielić pracownikowi urlopu w tym roku kalendarzowym, w którym ten uzyskał do niego prawo, zgodnie z planem urlopów lub po uzgodnieniu i na wniosek pracownika. Pracownik musi wykorzystać urlop wypoczynkowy najpóźniej do 30 września następnego roku.
Czy muszę wykorzystać urlop w pełnym wymiarze|wykorzystać urlop|Pracodawca powinien udzielić pracownikowi urlopu w tym roku kalendarzowym, w którym ten uzyskał do niego prawo, zgodnie z planem urlopów lub po uzgodnieniu i na wniosek pracownika. Pracownik musi wykorzystać urlop wypoczynkowy najpóźniej do 30 września następnego roku.
Czy muszę spożytkować cały urlop w danym roku|wykorzystać urlop|Pracodawca powinien udzielić pracownikowi urlopu w tym roku kalendarzowym, w którym ten uzyskał do niego prawo, zgodnie z planem urlopów lub po uzgodnieniu i na wniosek pracownika. Pracownik musi wykorzystać urlop wypoczynkowy najpóźniej do 30 września następnego roku.
moge Ci wyslać zapytanie dźwiękowe ? |Zapytanie dźwiękowe|Muszę jeszcze nad tym popracować, ale mam to zaplanowane w przyszłości :)
Czy mogąę z Toba rozmawiać przez mikrofon ?|Zapytanie dźwiękowe|Muszę jeszcze nad tym popracować, ale mam to zaplanowane w przyszłości :)
Czy mogę mówić do Ciebie a nie pisać ?|Zapytanie dźwiękowe|Muszę jeszcze nad tym popracować, ale mam to zaplanowane w przyszłości :)
Czy mogę z Tobą komunikować się słownie ?|Zapytanie dźwiękowe|Muszę jeszcze nad tym popracować, ale mam to zaplanowane w przyszłości :)
Rozumiesz słowa bez konieczności pisania ?|Zapytanie dźwiękowe|Muszę jeszcze nad tym popracować, ale mam to zaplanowane w przyszłości :)
Czy muszę przynieść zaświadczenie o niekorzystaniu drugiego rodzica z opieki nad dzieckiem (art. 188 KP)?|zaświadczenie o niekorzystaniu|Nie, opieka nad dzieckiem jest udzielana naszym pracownikom na podstawie ich oświadczenia.
